,PlaceJson,Estado
379,"Tijuana, Baja California",Baja California
380,"Santa Cruz Xoxocotlán, Oaxaca",Oaxaca
381,"San Miguel de Allende, Guanajuato",Guanajuato
382,"Guadalajara, Jalisco",Jalisco
383,"Huauchinango, Puebla",Puebla
384,"Ahome, Sinaloa",Sinaloa
385,Zona Arqueológica Mitla,Oaxaca
386,"Azcapotzalco, Distrito Federal",Ciudad de México
387,"Álvaro Obregón, Distrito Federal",Ciudad de México
388,"Gustavo A. Madero, Distrito Federal",Ciudad de México
389,"Querétaro, Querétaro Arteaga",Querétaro
390,"Centro, Tabasco",Tabasco
391,"Coyoacán, Distrito Federal",Ciudad de México
392,"León, Guanajuato",Guanajuato
393,"Naucalpan de Juárez, México",Estado de México
394,"Zapopan, Jalisco",Jalisco
395,"General Escobedo, Nuevo León",Nuevo León
396,"Ahome, Sinaloa",Sinaloa
397,"Xalapa, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
398,"Coronango, Puebla",Puebla
399,"Cuauhtémoc, Distrito Federal",Ciudad de México
400,"Puebla, México",Puebla
401,"Torreón, Coahuila de Zaragoza",Coahuila de Zaragoza
402,"Hermosillo, Sonora",Sonora
403,"Querétaro, Querétaro Arteaga",Querétaro
404,"Irapuato, Guanajuato",Guanajuato
405,"Miguel Hidalgo, Distrito Federal",Ciudad de México
406,"La Paz, Baja California Sur",Baja California Sur
407,"Huauchinango, Puebla",Puebla
408,"Mineral de la Reforma, Hidalgo",Hidalgo
409,"Campeche, México",Campeche
410,"Pachuca de Soto, Hidalgo",Hidalgo
411,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
412,"Zapopan, Jalisco",Jalisco
413,"Querétaro, Querétaro Arteaga",Querétaro
414,"Torreón, Coahuila de Zaragoza",Coahuila de Zaragoza
415,"Mérida, Yucatán",Yucatán
416,"Coyoacán, Distrito Federal",Ciudad de México
417,"Cuauhtémoc, Distrito Federal",Ciudad de México
418,"San Juan Colorado, Oaxaca",Oaxaca
419,"Perote, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
420,"Tlalpan, Distrito Federal",Ciudad de México
421,"Guanajuato, México",Guanajuato
422,"San Andrés Cholula, Puebla",Puebla
423,"Hermosillo, Sonora",Sonora
424,"Zitácuaro, Michoacán de Ocampo",Michoacán de Ocampo
425,"Cuajimalpa de Morelos, Distrito Federal",Ciudad de México
426,"Salvador Alvarado, Sinaloa",Sinaloa
427,"Guadalajara, Jalisco",Jalisco
428,"Ciudad Madero, Tamaulipas",Tamaulipas
429,"Monclova, Coahuila de Zaragoza",Coahuila de Zaragoza
430,"Matamoros, Chihuahua",Chihuahua
431,"Hermosillo, Sonora",Sonora
432,"Hermosillo, Sonora",Sonora
433,"Chihuahua, México",Chihuahua
434,"Puebla, México",Puebla
435,"Villa de Tututepec de Melchor Ocampo, Oaxaca",Oaxaca
436,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
437,"Los Cabos, Baja California Sur",Baja California Sur
438,"Mazatlán, Sinaloa",Sinaloa
439,"Mérida, Yucatán",Yucatán
440,"Ciénega de Flores, Nuevo León",Nuevo León
441,"Miguel Hidalgo, Distrito Federal",Ciudad de México
442,"Cajeme, Sonora",Sonora
443,"Gustavo A. Madero, Distrito Federal",Ciudad de México
444,"Salina Cruz, Oaxaca",Oaxaca
445,"Tuxtla Gutiérrez, Chiapas",Chiapas
446,Palacio Nacional,Ciudad de México
447,"Corregidora, Querétaro Arteaga",Querétaro
448,"Guadalupe, Nuevo León",Nuevo León
449,"Mérida, Yucatán",Yucatán
450,"San Fernando, Chiapas",Chiapas
451,"Benito Juárez, Distrito Federal",Ciudad de México
452,"Benito Juárez, Distrito Federal",Ciudad de México
453,"Zapopan, Jalisco",Jalisco
454,"Chicoloapan, México",Estado de México
455,"Benito Juárez, Quintana Roo",Quintana Roo
456,"Juárez, Chihuahua",Chihuahua
457,"Coyoacán, Distrito Federal",Ciudad de México
458,"General Zuazua, Nuevo León",Nuevo León
459,"Iztapalapa, Distrito Federal",Ciudad de México
460,"Benito Juárez, Distrito Federal",Ciudad de México
461,"Frontera, Coahuila de Zaragoza",Coahuila de Zaragoza
462,"Tetepango, Hidalgo",Hidalgo
463,"Irapuato, Guanajuato",Guanajuato
464,"Texcoco, México",Estado de México
465,"Coyuca de Benítez, Guerrero",Guerrero
466,"Tepic, Nayarit",Nayarit
467,"Monterrey, Nuevo León",Nuevo León
468,"Iztacalco, Distrito Federal",Ciudad de México
469,"Tlalpan, Distrito Federal",Ciudad de México
470,"Lerdo, Durango",Durango
471,"Venustiano Carranza, Distrito Federal",Ciudad de México
472,"San Luis Potosí, México",San Luis Potosí
473,"Guadalajara, Jalisco",Jalisco
474,"Puebla, México",Puebla
